name,category,meeting_time,location,member_count,description
Merced Neuroscience Society,"Professional, Undergraduate Student Organization, Special Interest",TBD,TBD,11,"A Professional, Undergraduate Student Organization, Special Interest organization at UC Merced."
Merced PoGO,"Medical/Health, Gaming, Wellness, Community Service",6:00PM,Outside,29,"A Medical/Health, Gaming, Wellness, Community Service organization at UC Merced."
Merced Pre-Law Society,Professional,Wednesday| 7 PM- 8 PM,Granite 145,42,A Professional organization at UC Merced.
Mi3 Student Association,Undergraduate Student Organization,TBD,TBD,7,A Undergraduate Student Organization organization at UC Merced.
Middle Ground,Undergraduate Student Organization,7:30pm-9:30pm Tuesdays,GLCR 145,15,A Undergraduate Student Organization organization at UC Merced.
Model Shipbuilding Club,"Social, Art, Special Interest, Wellness",TBD,TBD,8,"A Social, Art, Special Interest, Wellness organization at UC Merced."
Movimiento Estudiantil Chicano de Aztlán,"Community Service, Cultural, Leadership, Social, Advocacy, Student Government",Mondays 7:30 pm,KL 217,6,"A Community Service, Cultural, Leadership, Social, Advocacy, Student Government organization at UC Merced."
Muay Thai,"Social, Cultural, Special Interest, Wellness",TBD,TBD,7,"A Social, Cultural, Special Interest, Wellness organization at UC Merced."
Muslim Students Association,Faith Based,Weekly Jummah/Friday Prayer at 1:30 PM,GRAN 155 (brothers) and 130 (sisters),52,A Faith Based organization at UC Merced.
National Alliance on Mental Illness,"Advocacy, Wellness, Community Service",7:45pm-8:45pm,Glacier 140,8,"A Advocacy, Wellness, Community Service organization at UC Merced."
National Society of Black Engineers,"Undergraduate Student Organization, Professional",Tuesdays @6:30 PM,Granite 135,83,"A Undergraduate Student Organization, Professional organization at UC Merced."
Native and Indigenous Student Coalition,"Social, Leadership, Community Service, Academic, Art, Cultural, Wellness",TBD,TBD,20,"A Social, Leadership, Community Service, Academic, Art, Cultural, Wellness organization at UC Merced."
Nigerian Student Association,"Cultural, Social, Undergraduate Student Organization",Mondays @ 7:00PM,BSRC,46,"A Cultural, Social, Undergraduate Student Organization organization at UC Merced."
Nikkei Student Union,"Music, Undergraduate Student Organization, Cultural, Art",Friday at 3-5pm,Glacier point 155,18,"A Music, Undergraduate Student Organization, Cultural, Art organization at UC Merced."
NOBCChE UC Merced Chapter,"Academic, Cultural, Professional, Undergraduate Student Organization, Graduate Student Organization",Fridays (4-5pm),Virtual Meeting,6,"A Academic, Cultural, Professional, Undergraduate Student Organization, Graduate Student Organization organization at UC Merced."
Office of Financial Aid & Scholarships,UC Merced Department or Area,,,1,A UC Merced Department or Area organization at UC Merced.
Office of Social Justice Initiatives and Identity Programs,UC Merced Department or Area,NA,NA,18,A UC Merced Department or Area organization at UC Merced.
Office of Student Involvement,UC Merced Department or Area,Monday-Friday | 8 AM to 5 PM,Granite Pass 163,72,A UC Merced Department or Area organization at UC Merced.
Office of Student Rights and Responsibilities,UC Merced Department or Area,"In-Person Services Available: Weekdays, 9 AM - 5 PM",Granite Pass 167,6,A UC Merced Department or Area organization at UC Merced.
Office of the Ombuds,UC Merced Department or Area,,,0,A UC Merced Department or Area organization at UC Merced.
Omicron Delta Epsilon,"Undergraduate Student Organization, Academic",N/A,N/A,4,"A Undergraduate Student Organization, Academic organization at UC Merced."
Operation Smile Club,"Undergraduate Student Organization, Community Service, Leadership",Mondays 5:30-6:45 PM,Glacier Point 130,50,"A Undergraduate Student Organization, Community Service, Leadership organization at UC Merced."
Paleontology and Life,"Professional, Community Service, Academic",Saturday | 2 PM,TBD,59,"A Professional, Community Service, Academic organization at UC Merced."
Panjabi Students' Union,"Academic, Cultural, Social, Advocacy",TBD,TBD,7,"A Academic, Cultural, Social, Advocacy organization at UC Merced."
PERIOD. at UC Merced,"Undergraduate Student Organization, Wellness, Advocacy, Community Service",8pm on Mondays,TBD,7,"A Undergraduate Student Organization, Wellness, Advocacy, Community Service organization at UC Merced."
Phi Alpha Delta,Fraternity & Sorority,Brothers Only,Brothers Only,18,A Fraternity & Sorority organization at UC Merced.
Phi Delta Epsilon,"Professional, Undergraduate Student Organization, Fraternity & Sorority",Brothers Only,Brothers Only,19,"A Professional, Undergraduate Student Organization, Fraternity & Sorority organization at UC Merced."
Phi Mu,"Social, Leadership, Community Service, Fraternity & Sorority",Sisters Only,Sisters Only,25,"A Social, Leadership, Community Service, Fraternity & Sorority organization at UC Merced."
Pi Kappa Phi,Fraternity & Sorority,Brothers Only,Brothers Only,28,A Fraternity & Sorority organization at UC Merced.
Pilipinx American Alliance,"Social, Academic, Cultural",8:00pm - 10:00pm,Granite Pass 135,68,"A Social, Academic, Cultural organization at UC Merced."
Pre-Veterinary Club,"Undergraduate Student Organization, Special Interest, Medical/Health, Advocacy, Leadership, Professional, Social, Community Service",Fridays 5:30pm,Glacier 125,16,"A Undergraduate Student Organization, Special Interest, Medical/Health, Advocacy, Leadership, Professional, Social, Community Service organization at UC Merced."
Professional Fraternity Council,"Fraternity & Sorority, Leadership, Professional",Members Only,Members Only,6,"A Fraternity & Sorority, Leadership, Professional organization at UC Merced."
Project Smile: Pre-Dental Society,"Undergraduate Student Organization, Professional",TBD,TBD,28,"A Undergraduate Student Organization, Professional organization at UC Merced."
Psi Chi: The International Honor Society in Psychology,"Academic, Undergraduate Student Organization",Monday (Weekly) | 5:30 PM,Glacier 130,19,"A Academic, Undergraduate Student Organization organization at UC Merced."
Psychology Club,"Undergraduate Student Organization, Academic",Monday (Weekly) | 5:30 PM,Glacier 130,16,"A Undergraduate Student Organization, Academic organization at UC Merced."
Public Health Graduate Student Group,Graduate Student Organization,TBD,TBD,3,A Graduate Student Organization organization at UC Merced.
Public Health Society,"Special Interest, Undergraduate Student Organization, Wellness, Social, Professional, Leadership, Academic, Community Service",Every Other Monday at 6pm,Granite 140,27,"A Special Interest, Undergraduate Student Organization, Wellness, Social, Professional, Leadership, Academic, Community Service organization at UC Merced."
Radiant Minds,Undergraduate Student Organization,NA,NA,11,A Undergraduate Student Organization organization at UC Merced.
RadioBio,Graduate Student Organization,Wednesdays 2pm-3pm,SRE 265,10,A Graduate Student Organization organization at UC Merced.
Raunak Merced Di,"Community Service, Dance, Art, Cultural, Graduate Student Organization, Music, Undergraduate Student Organization",7 PM,TBD,17,"A Community Service, Dance, Art, Cultural, Graduate Student Organization, Music, Undergraduate Student Organization organization at UC Merced."
Remnant,"Undergraduate Student Organization, Social, Faith Based",Thursday | 6:30 PM,TBD,8,"A Undergraduate Student Organization, Social, Faith Based organization at UC Merced."
Robotics Society,"Professional, Academic, Undergraduate Student Organization",Announced on Socials,TBD,96,"A Professional, Academic, Undergraduate Student Organization organization at UC Merced."
Rotaract Club,"Undergraduate Student Organization, Professional, Leadership, Social, Community Service",TBD,TBD,20,"A Undergraduate Student Organization, Professional, Leadership, Social, Community Service organization at UC Merced."
SAE International,"Special Interest, Professional",Wednesday | 7:30 PM,SSB 170,175,"A Special Interest, Professional organization at UC Merced."
SEEDS at UC Merced,"Academic, Professional, Special Interest, Graduate Student Organization",TBD,TBD,12,"A Academic, Professional, Special Interest, Graduate Student Organization organization at UC Merced."
Sigma Chi,"Fraternity & Sorority, Undergraduate Student Organization, Academic, Community Service, Social, Leadership",Brothers Only,Brothers Only,33,"A Fraternity & Sorority, Undergraduate Student Organization, Academic, Community Service, Social, Leadership organization at UC Merced."
Sigma Delta Pi,Undergraduate Student Organization,TBD,TBD,1,A Undergraduate Student Organization organization at UC Merced.
Sigma Theta Psi,"Fraternity & Sorority, Undergraduate Student Organization, Social, Cultural",Sisters Only,Sisters Only,6,"A Fraternity & Sorority, Undergraduate Student Organization, Social, Cultural organization at UC Merced."
"Sigma Xi, The Scientific Research Honors Society","Academic, Professional",TBD,TBD,1,"A Academic, Professional organization at UC Merced."
Sikh Student Association,"Cultural, Faith Based, Community Service",TBD,TBD,27,"A Cultural, Faith Based, Community Service organization at UC Merced."
Skate Club,"Social, Wellness, Recreation and Athletics, Music",TBD,TBD,18,"A Social, Wellness, Recreation and Athletics, Music organization at UC Merced."
Social Creatives Club,"Undergraduate Student Organization, Special Interest, Art, Social",Mondays | 6 - 8 PM,TBD,30,"A Undergraduate Student Organization, Special Interest, Art, Social organization at UC Merced."
Society for Industrial and Applied Mathematics,"Professional, Academic, Undergraduate Student Organization, Graduate Student Organization",TBD,ACS 362C,24,"A Professional, Academic, Undergraduate Student Organization, Graduate Student Organization organization at UC Merced."
Society of Asian Scientists & Engineers,"Professional, Leadership, Community Service, Academic, Cultural, Undergraduate Student Organization, Special Interest",TBD,TBD,40,"A Professional, Leadership, Community Service, Academic, Cultural, Undergraduate Student Organization, Special Interest organization at UC Merced."
Society of Hispanic Professional Engineers,"Academic, Community Service, Cultural, Leadership, Professional, Social",Thursday | 7 PM,SSB 160,104,"A Academic, Community Service, Cultural, Leadership, Professional, Social organization at UC Merced."
Society of Women Engineers,"Professional, Academic",7-8PM,Granite 150,86,"A Professional, Academic organization at UC Merced."
Sociology Club,"Undergraduate Student Organization, Social, Professional, Leadership, Academic",5:00pm on Mondays (bi-weekly),Glacier Point 155,61,"A Undergraduate Student Organization, Social, Professional, Leadership, Academic organization at UC Merced."
Sociology Graduate Student Committee,Graduate Student Organization,Friday (Tri-Weekly),TBD,6,A Graduate Student Organization organization at UC Merced.
Soulaan Student Society,"Social, Community Service, Academic, Cultural, Art, Undergraduate Student Organization",Monday 7:00 pm biweekly,BSRC GRANITE 101,11,"A Social, Community Service, Academic, Cultural, Art, Undergraduate Student Organization organization at UC Merced."
South Asian Student Association,"Social, Cultural, Community Service",TBD,TBD,56,"A Social, Cultural, Community Service organization at UC Merced."
Sports Medicine Club,Special Interest,Thursday | 6:30 PM,Granite Pass 145,17,A Special Interest organization at UC Merced.
Stars of Hope,"Advocacy, Medical/Health, Leadership, Community Service",TBD,TBD,9,"A Advocacy, Medical/Health, Leadership, Community Service organization at UC Merced."
Street Dancers at UC Merced,Dance,W& TH 6:30 to 8:30,Tenaya Dance room,6,A Dance organization at UC Merced.
